ville,quartier,type_bien,surface_habitable,nb_pieces,nb_chambres,etage,ascenseur,etat,annee_construction,balcon,terrasse,parking,chauffage,classe_energie,distance_centre,distance_transport,score_commerces,date_mise_vente,prix
Strasbourg,Nord,Appartement,95.03781778490308,4,4.0,4,1,Correct,1923.0,0,1,0.0,Individuel gaz,D,2.4534905320376934,142.4601941844052,5.0,2020-02-26,335323.07914097287
Toulouse,Ouest,Maison,116.42827253358871,4,2.0,0,0,Correct,1950.0,0,0,2.0,Individuel électrique,D,4.459667785005159,497.56187756370434,7.0,2022-06-17,262753.03240816423
Le Havre,Sud,Loft,79.56449421975056,4,3.0,5,0,Correct,1998.0,1,0,0.0,Collectif,E,2.519781732850816,282.6536498220158,,2021-12-15,173194.025282849
Angers,Centre,Appartement,66.69612649146893,2,,1,0,Bon,1974.0,0,0,0.0,Collectif,C,1.812445518828588,191.5213509019468,9.0,2023-02-06,184212.52788812775
Rennes,Sud,Loft,126.5280412521575,4,3.0,5,0,Bon,1890.0,1,0,0.0,Individuel électrique,F,9.118663150843968,-50.0,4.0,2020-10-10,476488.18458116724
Montpellier,Centre,Maison,239.29096464147673,6,6.0,0,0,Correct,1948.0,0,0,0.0,Individuel gaz,C,2.985374957265899,152.36417300554172,8.0,2023-05-26,849174.9420170075
Le Havre,Ouest,Appartement,77.92256136710577,4,3.0,0,0,Très bon,1994.0,0,0,1.0,Individuel électrique,D,2.8856158966105987,145.37030666622718,5.0,2023-03-15,179294.82528818212
Nice,Ouest,Studio,28.703815668228078,1,0.0,3,0,Bon,1950.0,1,0,0.0,,B,6.893468420065784,332.7492104606356,1.0,2020-07-19,163175.92048375163
Strasbourg,Est,Appartement,90.34014654176188,4,3.0,5,1,Neuf,1963.0,0,0,0.0,Collectif,D,2.8062881895311644,,9.0,2023-11-08,390201.3969860713
Lille,Est,Duplex,96.0326860433137,4,,0,0,Correct,,1,1,,Collectif,E,4.759144134681316,813.6810970536743,3.0,2021-02-02,175924.2301697252
Marseille,Joliette,Loft,120.38664701715187,5,5.0,3,0,Très bon,2022.0,0,0,0.0,Collectif,C,11.205493957702567,222.8609086466997,3.0,2020-01-08,533881.5797413657
Strasbourg,Ouest,Appartement,73.91769778413256,3,2.0,2,0,Correct,,1,0,,,A,6.890605981043486,115.34957221371599,8.0,2023-07-16,246242.30312369572
Rennes,Nord,Appartement,80.17620726879825,4,,4,1,À rénover,1938.0,1,0,,Individuel gaz,,7.249907935685375,256.0755020087593,10.0,2020-04-21,156098.96519864578
Rennes,Ouest,Appartement,106.9434676091667,7,6.0,2,0,Correct,1939.0,0,0,0.0,Individuel électrique,A,2.63449384725605,136.25926164506336,,2021-02-16,405076.6771006582
Montpellier,Sud,Appartement,49.8648541472769,2,1.0,1,0,Bon,1947.0,0,0,0.0,Pompe à chaleur,C,5.6072123559504,77.25914879240969,1.0,2020-11-20,185801.35872329478
Nice,Ouest,Appartement,75.04302521024589,3,2.0,1,0,Très bon,1925.0,0,0,2.0,Individuel électrique,F,14.465927297280135,658.8176294180405,4.0,2020-09-30,347514.88057564845
Toulouse,Ouest,Appartement,94.92110746308248,4,3.0,6,1,À rénover,1930.0,1,0,1.0,Collectif,B,4.547780254849602,343.67112495888057,7.0,2022-03-16,264441.76417423453
Montpellier,Centre,Maison,197.40982883689637,4,3.0,0,0,Très bon,1941.0,0,1,0.0,Pompe à chaleur,,2.3267777619304413,367.882792000736,8.0,2023-02-11,763354.5756748528
Montpellier,Centre,Appartement,50.802183785217096,2,2.0,1,0,Très bon,1985.0,1,0,0.0,Individuel gaz,G,11.275126910156654,168.02199150232047,,2021-07-03,164078.02467244535
