date_transaction,type_compte,anciennete_compte,age_client,statut_professionnel,revenus_mensuels,region,montant_transaction,type_transaction,categorie_marchand,pays_transaction,heure_transaction,jour_semaine,mode_paiement,nb_trans_24h,montant_total_24h,nb_pays_24h,distance_trans_precedente,temps_depuis_derniere_trans,montant_moyen_30j,ratio_montant_moyen,auth_3d_secure,ip_match_pays,appareil_connu,nb_tentatives_echouees,score_risque_marchand,is_fraud
2023-09-16 09:19:56,Professionnel,38.20212920133867,53.3894461220853,Retraité,1688.9009218534752,Auvergne-Rhône-Alpes,43.715060831742164,Achat en ligne,Électronique,Allemagne,11,4,Sans contact,1.0,103.21648158731259,1,6.80151627355893,525.1336311656034,578.0006096124811,0.07563151336648383,1,1,1,0.0,7.0,0
2023-05-30 06:08:02,Courant,42.57016370705333,59.781103176516865,Salarié,2482.6724853305805,Hauts-de-France,86.25813758381216,Achat en magasin,Vêtements,France,10,2,Carte physique,3.0,388.7274592866195,1,31.32027004706517,873.3507385689196,656.5416208901942,0.13138258845929088,1,1,1,1.0,7.0,0
2023-01-19 23:15:29,Épargne,33.47467038714252,57.67322810645399,Salarié,4618.968637777938,Grand Est,43.45821771246968,Achat en ligne,Alimentation,France,13,1,Sans contact,4.0,292.7267628195029,1,10.324552150430241,769.9609198136202,1463.7759095672372,0.02968911937163799,0,1,0,0.0,,0
2023-11-12 16:10:32,Épargne,83.47895793917975,42.240117852135754,Étudiant,290.4009435072412,Île-de-France,156.85861532380795,Retrait ATM,Autre,États-Unis,21,0,En ligne,0.0,0.0,1,19.813236271399138,873.3849404285791,106.2633324063913,1.4761311524084442,1,1,1,0.0,2.0,0
2023-08-11 23:32:13,Professionnel,47.12255813228778,18.0,Retraité,2110.6875456981593,Hauts-de-France,79.51846441838985,Virement,Autre,France,15,3,Carte physique,2.0,66.7185536905412,1,8.578080883794183,1581.9964027167164,585.5005763963505,0.13581278588624374,0,1,0,1.0,5.0,0
2023-07-28 00:54:39,Courant,67.84644676099761,52.34805119354442,Indépendant,5392.03062147916,Pays de la Loire,71.61339892525176,Achat en ligne,Autre,France,11,0,Carte physique,2.0,252.9802003604827,1,7.021714284748056,845.3307033205401,1546.8947873645436,0.046294938421287235,0,1,1,0.0,3.0,0
2023-11-13 17:48:55,Courant,57.56122873269562,23.314959173623258,Salarié,4064.7472551686305,Bourgogne-Franche-Comté,41.59965327469283,Achat en ligne,Autre,France,18,3,Carte physique,1.0,45.644293432866554,1,26.953064073574357,993.4509601875716,1571.5700862254487,0.026470122865856822,1,0,1,0.0,1.0,0
2023-10-26 15:38:10,Épargne,13.998036086887653,51.93513397213445,Salarié,3704.3553520963533,Île-de-France,59.33080584737528,Achat en ligne,Services,France,15,5,Carte physique,6.0,646.9416782394801,1,43.79978064539553,568.4250084196372,799.6260985883175,0.07419818581724578,0,1,1,0.0,1.0,0
2023-04-05 05:54:02,Courant,73.49074690072474,50.740400755283126,,4203.678517343377,Bretagne,116.15968536714266,Retrait ATM,Autre,France,14,5,En ligne,1.0,15.507404722461036,1,46.26938724711552,1178.0340045798082,1578.8375029570143,0.07357292004375782,1,1,0,,2.0,0
2023-01-10 08:46:12,Courant,26.370900205158033,41.8907102947229,Indépendant,3954.199516331178,Hauts-de-France,77.03975772681713,Prélèvement,Autre,Allemagne,15,0,Sans contact,3.0,563.0633883173509,1,18.477146881742712,602.249721704324,1031.6629737084513,0.07467531518543052,1,1,1,0.0,5.0,0
2023-12-29 17:56:26,Courant,54.9013370351923,46.00233071362906,Retraité,2880.8353016849965,Grand Est,62.24966677022061,Retrait ATM,Autre,France,23,2,Carte physique,4.0,155.09303868716418,1,15.246197520286199,2127.875781325212,640.2451558697413,0.09722786060857816,1,1,0,0.0,1.0,0
2023-03-18 00:10:42,Professionnel,99.72191976094363,66.82192510415072,Retraité,2651.574665029083,Grand Est,61.2864312708446,Achat en ligne,Vêtements,France,15,4,Carte physique,1.0,38.53521084131156,1,,452.11232034809495,,0.08693215756768448,1,1,1,1.0,7.0,0
2023-07-14 20:56:41,Jeune,71.56693741638597,64.431416883298,Retraité,2312.280641553027,Grand Est,99.81880562929138,Prélèvement,Autre,France,19,0,Carte physique,3.0,289.48523476570597,1,31.689472166704785,454.5919301395944,727.2235200575251,0.1372601447508126,1,1,1,0.0,6.0,0
2023-11-04 20:30:39,Épargne,95.42484530605903,39.728958857734234,Indépendant,,Normandie,188.80392884448406,Virement,Autre,France,11,3,En ligne,1.0,52.412552270187966,1,,1518.1093208967875,1799.397513892184,0.10492619189858278,0,1,1,,2.0,0
2023-09-16 13:08:06,Courant,94.69722909881119,18.0,Salarié,6303.008459978087,Île-de-France,185.1627426726085,Achat en magasin,Alimentation,France,7,4,En ligne,0.0,0.0,1,4.769064358993214,967.378324463418,,0.09562350641983075,1,1,1,0.0,3.0,0
2023-12-02 22:16:14,Courant,63.70837852547713,68.56417957076818,Salarié,4377.037407760044,Auvergne-Rhône-Alpes,21.052231402402164,Virement,Autre,États-Unis,18,0,Sans contact,2.0,100.70513680523241,2,9.480732223520976,869.5726683295499,1162.3342462679896,0.018112028850562085,1,1,1,0.0,8.0,0
2023-07-03 02:30:10,Jeune,48.92386725783595,21.329943595936943,Indépendant,6592.646025001949,Normandie,123.2199145145576,Achat en ligne,Services,France,10,4,Carte physique,2.0,212.85821434447715,1,,1022.4487854513636,1117.2100334374877,0.11029252407931604,1,1,1,1.0,2.0,0
2023-03-15 09:33:34,Jeune,37.977414645154205,46.36807491287149,Indépendant,4806.605227278655,Nouvelle-Aquitaine,91.1754647335234,Achat en ligne,Électronique,France,19,6,Carte physique,5.0,32.64539520405992,1,28.503386440471417,632.8418861096629,1896.562020178367,0.0480740749648401,0,1,1,0.0,1.0,0
2023-09-19 23:50:55,Jeune,88.18031605812071,43.899000017374874,Indépendant,5424.612503837467,Nouvelle-Aquitaine,144.77282845439842,Achat en ligne,Voyage,France,19,1,En ligne,2.0,137.8056347725292,1,,1212.6558337462995,1372.1548305639137,0.105507647701026,1,1,1,1.0,,0
2023-03-10 21:44:01,Professionnel,82.98062799943875,51.53027293112331,,,Occitanie,88.63078166394193,Achat en ligne,Alimentation,France,17,2,Sans contact,2.0,103.04532055799348,1,29.735390124209058,1095.6614814791556,640.5482167127641,0.13836707269093207,1,1,1,0.0,3.0,0
2023-09-30 20:17:17,Courant,32.81607571221701,64.48960228023475,Retraité,2394.955565944115,Provence-Alpes-Côte d'Azur,97.00142837584205,Achat en ligne,Santé,France,9,0,Sans contact,0.0,0.0,1,21.73609861172732,996.5927050991073,906.8171562606548,0.10696911467338852,1,1,1,2.0,2.0,0
2023-09-10 22:37:38,Professionnel,33.358170128001504,45.90906636460896,Retraité,2456.163377632638,Hauts-de-France,51.71340443918979,Achat en magasin,Vêtements,France,12,2,Carte physique,1.0,47.70888568833971,2,12.267269827906482,904.3327821713723,,0.05380879828513931,1,1,0,,5.0,0
2023-11-10 06:22:55,Courant,50.22917088343861,37.42908177395693,Retraité,3407.537234761519,Bretagne,130.62901027806748,Retrait ATM,Autre,France,9,3,Carte physique,4.0,377.66723004196274,1,8.158146115671611,877.3229326517136,906.4934625418549,0.14410364296701814,1,1,1,0.0,8.0,0
2023-02-27 08:10:47,Courant,7.158803678667262,49.269646658698676,Étudiant,802.4219537903928,Provence-Alpes-Côte d'Azur,113.14541925901761,Achat en ligne,Autre,France,10,1,En ligne,4.0,157.75672763119937,1,31.7317977785056,1947.775001769696,135.7288533750552,0.833613608643451,1,1,1,1.0,6.0,0
2023-06-05 03:04:08,Épargne,24.25737851857183,24.554683957263045,Retraité,3242.224789519557,Auvergne-Rhône-Alpes,137.21101846867356,Achat en ligne,Alimentation,Autre Europe,9,4,En ligne,3.0,63.27640885063036,1,31.40915257608927,470.32469990811734,1128.47389417612,0.12158989160209953,1,1,1,0.0,2.0,0
2023-06-16 08:57:44,Courant,74.34369683234736,34.73932607613074,Salarié,2610.55171020316,Île-de-France,114.71678324597504,Achat en ligne,Santé,Espagne,12,0,En ligne,2.0,123.826089966034,1,13.041074631225795,488.10574858906074,696.7628777896497,0.16464250163540953,1,1,1,0.0,5.0,0
2023-05-18 04:00:50,Courant,19.867498702391583,41.82627298386091,Indépendant,3733.808826394908,Grand Est,45.37790462751208,Achat en magasin,Électronique,France,17,4,En ligne,0.0,0.0,2,14.983023753455075,404.1578228013152,971.4126471560621,0.046713314635507215,1,1,1,0.0,2.0,0
2023-07-07 23:46:35,Courant,67.61830778801968,53.146192841031095,,1998.4143915614968,Île-de-France,189.5955893967439,Retrait ATM,Autre,Allemagne,14,5,En ligne,4.0,747.3434342629729,1,17.31116962762791,1199.7762370158696,381.8078632964687,0.4965732967357077,1,1,0,0.0,1.0,0
2023-05-10 17:01:03,Courant,46.16397798578132,65.79565880930048,Indépendant,4590.980683402542,Île-de-France,53.19169412756926,Achat en magasin,Santé,France,6,3,Carte virtuelle,2.0,204.67347112730184,1,46.56424874257576,826.3946631193414,1025.0592554187986,0.051891335887540704,1,1,1,0.0,3.0,0
2023-05-21 20:14:11,Professionnel,32.628234669497424,61.21916852469644,Retraité,,Bourgogne-Franche-Comté,38.16070304050339,Retrait ATM,Autre,France,9,1,En ligne,-5.0,82.38305980935719,1,31.269585100822965,966.8692988463931,1025.0416355845452,0.03722844196347369,1,1,1,0.0,3.0,0
2023-01-03 19:18:17,Courant,76.38788036326078,58.809532049017434,Salarié,2899.0992793184814,Hauts-de-France,110.6755375865661,Achat en magasin,Alimentation,France,23,5,Carte physique,0.0,0.0,1,11.504570019674995,557.6911600568468,815.1541419384097,0.13577252680503263,1,1,1,0.0,4.0,0
2023-06-19 07:13:58,Courant,112.61600125602784,61.38153019601247,Salarié,,Auvergne-Rhône-Alpes,160.28199944482375,Achat en magasin,Services,France,16,4,Carte virtuelle,2.0,227.56066325612355,1,6.98265932622801,475.57941031798975,857.8079624188474,0.18685067808517478,1,1,1,0.0,2.0,0
2023-08-17 23:48:49,Courant,37.745915459521726,53.83700027430025,Indépendant,6305.277496044926,Hauts-de-France,102.52751869591775,Achat en magasin,Vêtements,France,13,3,Carte physique,3.0,168.74546520178984,1,38.19794841975075,1179.6810829991769,1006.3861524334455,0.10187691717339892,0,1,1,1.0,5.0,0
2023-10-23 04:44:20,Courant,98.40311345938213,46.16279638082263,Salarié,3032.2436064417693,Occitanie,50.50049653646803,Virement,Autre,Allemagne,22,4,Carte physique,1.0,18.88726555462775,1,15.949133868189985,327.3960349667123,563.8329822359188,0.08956641084777411,1,1,0,1.0,3.0,0
2023-01-27 09:03:31,Courant,62.44173643474464,29.998579717270605,Salarié,5018.222812412442,Pays de la Loire,45.603978354359874,Achat en ligne,Santé,France,14,5,Mobile,2.0,195.69048487511986,2,33.13658594599521,592.6942180757266,1114.956368878587,0.040902029556751124,0,1,1,0.0,1.0,0
2023-11-22 06:08:08,Épargne,58.60625301534368,45.47709192448814,Sans emploi,738.9962996817484,Nouvelle-Aquitaine,110.15806847991816,Achat en magasin,Services,Italie,19,3,Sans contact,1.0,22.4177296620166,1,5.709084100217188,456.9508377863874,145.34831945083891,0.7578902108818455,1,1,1,0.0,4.0,0
