ID_Transaction,mode_paiement,pays_transaction,categorie_marchand,type_transaction,montant_transaction,score_risque,probabilite_fraude,statut,top_features_risque
1,3,3,1,0,4568.83,100.0,1.0,✅ Vraie Fraude,Analyse non disponible
2,1,6,6,0,3345.26,100.0,1.0,✅ Vraie Fraude,Analyse non disponible
3,2,6,2,1,2407.13,99.0,0.99,✅ Vraie Fraude,Analyse non disponible
4,1,9,6,0,3848.82,99.0,0.99,✅ Vraie Fraude,Analyse non disponible
5,0,9,1,3,3121.29,99.0,0.99,✅ Vraie Fraude,Analyse non disponible
6,1,3,3,0,4341.07,99.0,0.99,✅ Vraie Fraude,Analyse non disponible
7,2,9,1,3,1404.43,98.0,0.98,✅ Vraie Fraude,Analyse non disponible
8,2,1,1,2,2325.37,98.0,0.98,✅ Vraie Fraude,Analyse non disponible
9,3,6,6,0,4384.19,97.0,0.97,✅ Vraie Fraude,Analyse non disponible
10,1,0,1,2,1608.15,97.0,0.97,✅ Vraie Fraude,Analyse non disponible
